example,text
0,The numerator must be larger than the denominator in order to increase the slope by 2x the height 
1,if the rise increases with a fixed ladder length then the run decreases 
0,doubling the slope (x2) is like making the function on a graph increase
0,we don't know how far across the distance on the x-axis is
0,"Rise over run. In the second ladder, rise twice of first ladder, therefore slope doubles. "
1,Since the ladder is at x height moving it so that it is 2x changes the height but also in proportion changes the distance the ladder is from the wall and since it increased by 2x then the length from wall decreased by 2x therefore keeping the slope the same
0,"Because the length is fixed, the run remains the same. The rise is multiplied by 2, doubling The original slope."
1,"let y be the distance from the wall





m1=x/y, m2=2x/ky, where 0<k<1 (since we know y is decreasing in the second triangle)





Solving both equations for y, we get y=m1x, and y=m2kx/2





m1x=m2kx/2





m1/m2=k/2





m2/m1=2/k





Since we know k is smaller than 1, m2 is going to be more than 2 times the value of m1, meaning the slope will be more than doubled "
0,"





![20220911_161533.jpg](https://usercontent.crowdmark.com/cc67a887-ab3d-44ae-8d35-75f71d9a701e.jpg)





"
1,"The slope has been more than doubled because the height up the wall has been doubled and the base's distance from the wall has been decreased. It would have been exactly doubled if the height up the wall was doubled and the base somehow stayed in the same place (i.e., the ladder would have to get longer), but since the base was moved closer to the wall, the slope is even steeper than double."
0,"The context of the question only tells us that the rise is twice it was, not how much the run has decreased, making the slope undeterminable."
0,"the rise of the slope is the x axis and as shown in the diagram it increases by 2x, therefore the slope will be twice but you will not know if it is exactly twice as the run (y axis) was not shown. "
1,"The slope of the ladder is certainly greater after than before. However, we are only given a variable and a multiple of the variable for the height between the ladder and floor before and after. We have no information about the distance between the wall and the other end of the ladder, nor of the length of the ladder, so it cannot be determined by exactly how much the slope of the ladder changed. In other words, to use Pythagora's theorem (a^2 + b^2 = c^2) to solve this, we would need to know two of the three variables. We only know one. "
0,"Ladder 1: Assuming that the rise x is 2 and the run is 4, the slope of the before ladder would be 1/2. Therefore the slope of Ladder 2 would be 4/2 which would make it more than twice as what it was before."
0,As the height increases the hypotenuse becomes greater and the base become smaller  
0,The reason is because now the rise over run values have inversed. 
1,The slope of the ladder after it was adjusted would be more than double than what it was before. This occurs because the ladder is a fixed length so by altering the height of the ladder against the wall the rise increases and thus causing the run to decrease as well. When calculating the new rise/run the numerator will be doubled and the denominator would be smaller causing the new slope to be more than double the old slope. 
0,pythagoras theorem and rates of change
0,"Substitute test values in for all sides, solve for slope."
1,"The height of the ladder is a fixed length. If the ladder is adjusted to be 2x greater than before, this also results in the run becoming smaller because the ladder is a fixed height.  This means that the rise of the slope is more than 2 times greater than before and the run is less than before; therefore the slope must be more than twice what it was before. "
1,"As the rise increases, the run decreases. So, the slope would drastically increase as since the numerator would be much larger than the denominator."
0,This is due to the fact that the ladder will start to straighten itself to reach 100% in which it does not have a slope anymore due to be straight. 
1,"If how high the ladder is placed (rise) increases by two, then the run decreases by a factor less than half





thus the slope is more than twice what it was before (denominator is much smaller)





"
0,using the pythagorean theorem results in a higher value than twice the original
0,"





![2F161184-0CC9-4D02-8E30-7875D9F3F1BB.jpeg](https://usercontent.crowdmark.com/602c4b12-cccb-4a18-bc47-c624a6ca03f8.jpeg)





"
1,"m=rise/run.. and although the rise in the second photo is 2x higher than the first, the run also became shorter.











Therefore, the slope of ladder is more steeper than twice it was before."
0,"Slope is rise/run. If the distance of the ladder from the wall stayed the same but the ladder was twice as high up, then that would be double the slope, for example if rise is 5m and run is 2m, slope is 2.5, but if the height only was doubled, it would become 10/2 so slope is double at 5. In this case, in order for the ladder to go higher up the wall, it has to be moved closer to the wall. Continuing with the example, the rise is now 10m, but in order to achieve that the ladder was moved closer by 1m, making the run 1m. This gives a slope of 10, which is more than double the original 2.5."
0,"





![453B72CD-7683-4CF7-B361-3EDB8D8E87D6.jpeg](https://usercontent.crowdmark.com/0a04cf30-f5bb-4962-ab9b-843ae75451de.jpeg)





"
1,The y axis doubles and the x axis reduces so since m=y2-y1/x2-x1 the denominator would be smaller and hence m would be bigger.
1,"The change in y is increasing and the value its being divided by is decreasing, therefore the slope would be significantly larger."
0,"The slope of the ladder can be found using rise over run. The ladder before has a slope of around 1/2 and 2/1 afterwards. As we can see, this is more than 2x the slope."
0,"Using Pythagoras theorem





x^2 +y^2= z^2 (hypothenuse= slope)





if x is doubled then y would decrease however the slope z would be the sane





"
0,I assigned values to each side then did rise over run to find the slope. 
0,"Unsure





"
0,slope doubled
0,"Ex. Rise of 5 u, and run of 12 u. Using Pythagorean theorem, the ladder length is 13 u. The slope in this case is 5/12. If the rise is doubled (to 10 u), then using Pythagorean theorem the run decreases to 8.3. The slope is now 10/8.3, which is greater than double the previous slope."
0,"Since a slop depends on a rise/run, doubling the value of m would suggest that each point is twice its y-value as there is no fixed constant for b."
1,"Since ladder is fixed length, the run has to decrease as the rise increases. so if the rise increases by a factor of 2 and the run decreases than the slope has to be more than twice the original slope."
0,If all x values are doubled that means for every 1 unit that you initially travelled up you now travel 2 units up which makes the line steeper. The change in y will now be greater than the change in x and so the slope will double as well. 
0,2x is twice as high as just x.
0,"The slope of the ladder is twice of what it was before since these two functions are inverses of eachother. Meaning, the x inputs swap with the y outputs."
0,It would be more because the rise increases but the run stays the same. So to compensate the slope would have to be more.
0,The angle between the ground and ladder is doubled when the ladder is twice as high as it was before.
0,"The graph now has twice the slope as before because the height of the later has changed twice as much. Meaning instead of the slope being 1, it will now be 2 (up 2 across 1). "
1,"The rise of the slope has doubled and the run has decreased, meaning the slope would more than double. "
1,"Slope is calculated as delta y/delta x, in other words rise over run. In this case, while the rise of the ladder is increasing, the run of the ladder is decreasing. Therefore, the rise and run are remaining proportional to each other and as such the slope will have no change. "
0,"





![13b.png](https://usercontent.crowdmark.com/f4ececd5-5485-4e5e-bdb3-1ab3a0b4a2a6.png)





"
0,the slope of the ladder does not change it is always the same no matter what x and y values change
1,"the ladder length stays the same, so adjusting would make it more than twice what it was before"
0,"There are no measurements provided, therefore, a conclusive answer can't be given."
0,"I was not very sure about my answer to this question. I thought of the equation of a line y=mx+b and thought if the x value is twice as high, the slope could be twice as high as well. "
0,"By increasing the height of the ladder (multiplying by 2), the distance between the ladder and the wall is now half as small. The first slope is x/2x and the second slope is 2x/x. Therefore the slope is more than twice what it was before, it's four times than what it was before."
0,"when considering rise over run, since the rise value doubles, so does its slope"
0,"





![B73EE62A-5A83-43A9-B3B5-5D6D058D5D6E.jpeg](https://usercontent.crowdmark.com/0b5a197c-75b4-4ea2-aecf-1ed45394169b.jpeg)





"
1,"Since the rise goes up double the amount, and the run decreases, the value of the slope has to be greater than double what is previously was, as the amount that the rise gets divided by is now less."
1,"The slope is defined as rise over run. If the ladder is adjusted to be twice as high as before, it is assumed that the rise of the slope then increases by 2, while the run becomes smaller than previously."
1,using slope formula is rise doubles run must decrease so we get it more the double the original. 
0,it would be solvable if any of the two acute angles is given a degree.
1,the value of x is doubled but the distance from the base of the ladder to the wall is decreased. so the new slope should be 2 divided by some number that is less than 1 since it has decreased. which means the slope has more than doubled
0,"In this question, i am assuming that the ladder is moving inwards at the same rate that it is moving up. "
1,"When x doubles, the value of the horizontal value decreases. For example, in the first figure, the slope is approximately 1/2 = 0.5. However, in the second figure, the slope is approximately 2/1 = 2. In this case, the slope increased by more than twice, by almost 4 times in this specific scenario. Thus, it is reasonable to conclude that the slope increases by more than twice what it was before when x doubles. "
0,"The slope or rate of change changes greatly when the height of the ladder is doubled, I think it increases by a factor of 4"
1,"the rise gets bigger but the run gets smaller, therefore it doubles"
0,Because the ladder doubled in height.
0,"see attached file

















![Q13.jpg](https://usercontent.crowdmark.com/cd4c516a-3f4b-4a98-82fc-ed595a38c405.jpg)





"
0,not so sure how to solve this
0,There was not enough information to determine the answer.
0,"the coefficient right next to the X is the slope, so no matter what the slope is, that 2 will double it. after subbing in fake numbers using the same scenario, you get more than double of what it was. "
0,"the rise increased, and the run decreased "
0,"the length of the ladder didn't change, the base and height changed from 2x and x to x and 2x"
0,"By trialling this question on graph paper, I calculated that the slope of the second ladder would be about 4 times larger than the first. "
0,"





![68B5B093-8AF7-4E29-8753-6E0B882CCFFC.jpeg](https://usercontent.crowdmark.com/3cbaaa06-f1de-48af-ac75-7e026644367b.jpeg)





"
0,the answer will also be multiplied by a factor of 2
0,It becomes more steep.
0,I found that the angle of the ladder after is increased 2.25x that of what it was before by plugging in test values for sin = o/h.
1,"To calculate the exact slope, we would need to know the distance of the ladder from the wall. However, since the ladder has increased in height, but the length remains the same, we can use pythagorean's theorem to deduce that the distance from the wall would be smaller, meaning the ratio of rise over run would be a higher number. "
0,I don't know. It seemed right. 
1,"Slope is rise over run and since rise is doubled and run is decreased, (denominator decreased = bigger denominator) we know that the slope is more than double what it was before"
0,m = rise/run. Set x =5 (on the y-axis) and the run (x-axis) = 15. Equation for diagram on the left m = 5/15 = 0.33. Equation for the diagram on the right m = 10/15 = 0.66. 0.33 x 2 = 0.66. This means the slope of the ladder is exactly twice what it was before.
0,"Since you're increasing the height by two, this increases the slope by 2 as well."
1,The slope has become steeper and the rise has increased while the run has decreased making the overall slope larger and visibly 2 times larger. 
0,"





![125CE5A8-9376-4445-ABB2-2A212E25CDF7.jpeg](https://usercontent.crowdmark.com/37ba4f75-bb8c-4d8e-b005-0db923b1d819.jpeg)





"
1,"The slope is more than twice what it was before because not only has the rise doubled (which would simply cause the slope to double had the run stayed the same), but the run has gotten smaller as well, meaning the slope must be more than double what it was."
1,"While the rise is increasing, the run decreases so the answer should be more than twice."
0,Y values increase and slope increases equally 
0,"Since the y-component is increased by 2 (x becomes 2x), the x-component is halved as the ladder moves closer to the wall horizontally, negating the slope to become double of what it was. m = rise/run, so 2/1/2 = 1, so the slope stays the same."
0,"rise/run: 1/2 and became 2/1











"
1,"Slope is directly proportional to the rise of the slope (meaning the *y* value). Since the *y* value, denoted by *x*, doubled, so does the slope. As well, the horizontal component, or the run of the slope, decreased, and that is inversely proportional to the slope. Therefore, the slope has more than doubled."
0,"The slope goes up high because the angle of the line is now more steep. This means that there is a higher rate of change. Also, the height has exactly doubled, so that means that the slope will also double."
0,"





![16630174921603006171983549767331.jpg](https://usercontent.crowdmark.com/058eec50-95b8-40d2-8449-e7fcf8193024.jpg)





"
0,"There is not enough information because it all depends on the length of the ladder. Say the ladder is infinitely long and x is small, doubling x will have a very minor change on the slope of the ladder. But if the ladder is really short, the slope will increase by a lot when x is doubled. Therefore, it cannot be determined. "
1,The question tells us the rise increases by 2 but does not tell us how much the run changed making the answer undeterminable. The most likely answer is twice or more than twice from before though as the run probably has decreased.
0,increasing by a factor of 2 increases slope by factor of 2
1,"The slope in the second graph has a rise that is twice as much as the rise in the slop of the second graph, but since the run has also changed from the first graph to the second graph. The change in slope is greater than twice it was before. "
0,"I chose this answer because the other 4 options were not correct, so I chose option ""C."""
0,I just guessed because it looked like double
0,"





![IMG_8851.jpg](https://usercontent.crowdmark.com/ee444242-76f3-451b-802d-988774706691.jpg)





"
0,"m = rise / run. since the rise for the after picture is twice the one before, the slope will be 2 times greater. "
1,"Moved closer to the wall, the ladder has double its original rise over a distance smaller than the original. This smaller smaller run (in the denominator) magnifies the increase in slope caused by greater rise in height"
0,"





![13.jpeg](https://usercontent.crowdmark.com/f0f75269-9d4f-4f97-9ea1-16874082cf01.jpeg)





"
1,I think the answer is more than twice what it was before because not only has the height doubled but the distance from the wall has shortened and will now be a smaller negative number. Therefore the slope will be more than twice what it was.
0,The range increases making it more than twice what it was before.
0,height was x and it doubled so its x times 2 
1,The answer is more than double because you increase the numerator and decrease the denominator in the slope formula. This gives you a bigger number than before.
1,"If the ladder is twice as tall (relative to the x-axis), the width (relative to the y-axis) would not decrease exactly by half its original position. Thsi leaves up with a slope more than twice what it was before."
1,"since ladder is fixed, the ""run"" has to shrink, so its more than 2x"
1,"The slope of the ladder is more than twice what it was before, since the rise not only increases, but the run also decreases, with both factors contributing to the new slope."
0,since the ladder is a fixed length the slope would at least double 
1,If rise is increasing by 2x and run is decreasing than the slope will be more than two times greater
1,"The slope is more than twice what it was before because for it to be just double the original slope the length on the horizontal axis would have to stay the same as it dos in the original, but because it does not (it decreases), the new slope will be larger than double the original."
0,they only adjusted it once more it height from before. twice from the ground but once from where it was before. 
1,"Since the rise doubles, the run decreases. (2xrise)/(smaller run) is greater than 2x(the original slope) therefore, the slope is more than twice what it was before."
0,x was multiplied by 2
1,"The rise of the new slope of the ladder is 2 times the rise of the old slope but the run is smaller, therefore, it is more than 2x bigger. "
0,"In slope intercept form, the value multiplied by 'x' is the slope (m value). Since 'x' is doubled, the slope is doubled by the same amount."
1,For the slope to be twice the original slope it would be 2x/y. While the after slope would be 2x/(smaller y). This means it will be greater. 
1,"I think that as you increase the length of the rise then the slope will increase. However, I tried to find how much the slope increased from the original. I found it increases more than double."
1,slope is rise / run. since the ladder is the same length increasing the rise must have shortened the run meaning that the slope is greater than twice the original amount.
1,"m = rise/run





m = x/run











since the ladder (fixed length) is adjusted, the rise would become 2x and in order for the rise to increase, the run must decrease bc of the ladder's fixed length (if not fixed length, the ladder would get longer and run would stay the same)











so it'll be 





m(new) = 2x/(decrease of run)











this means that the slope will increase bc the rise increased while the run decreased"
1,"Slope is delta y / delta x. When the ladder was adjusted, the ladder reached twice as high as before while starting from further in the floor. Because it starts from further in the floor, this means that delta x has decreased while delta y doubled, thus the slope is over twice what it was before. "
1,"The slope of the ladder is more than twice of what it was before, because even though the rise of the ladder increased by 2, the run became smaller. When we divide the rise by the smaller run, we will get a number larger than 2."
0,"Before the rise is 1, and the run is 2, slope =1/2





After the rise is 2 and the run is 1, slope=1











thus after the slope is twice that of before"
1,"we can use both points of reference over here and find the slope graphically y2-y1/x2-x1, and we get the slope to be more than twice depending on the distance the ladder moved horizontally in the 2nd case."
0,adjusting it twice as higher as before changes the slope by exactly twice then before.
0,"





![2022-09-14, 3_48 PM Microsoft Lens (12).jpg](https://usercontent.crowdmark.com/ef0ef83b-b6ab-4c5c-a9ed-ca62c292e265.jpg)





"
0,using rise over run method
0,"Graphically, the values for x and y will be less, making the equation for the slope of the line be less than the original graph of x. "
0,"When you double m, the coordinates for y become double they were before. "
1,"Slope is equal to rise over run.  If the rise doubles, the slope doubles, but in this case not only does the rise double, the run is shorter, so the new slope is going to be more than double the original slope."
1,"The answer is #2 because, if the height is twice as high as it was before it was adjusted that means it has been stretched vertically by a factor of two."
0,"When looking at the slope of the of the line, I accounted for the fact that the ladder is doubled in height. When looking at the slope, it makes sense that the slope is also doubled in order to account for the ladders height difference. "
0,"The problem can be solved as explained below in the screenshot











![Untitled Notebook (1)-23.jpg](https://usercontent.crowdmark.com/e1f0fa6f-f156-4eb0-9446-2ef9ca15b4ec.jpg)





"
0,"Because when calculating slope we compare the rise over the run, we can see that when the rise has doubled therefore the slope would be twice of what it was before"
0,"To determine slope, we need the change of y and x values. However, by only having the change in height we cant complete the calculations"
0,sub 1 for x and compare
0,The slope would increase twice 
1,The rise of the slope has increased while the run of the slope has decreased. Therefore the slope will be steeper.
0,"Although the question states that the ladder itself is a fixed length, it does not say that its distance from the wall is fixed. This is not enough information to definitively describe the change in slope."
1,"To obtain this answer, I made sure to take into consideration that the latter is a fixed length. This means that even if the x values have doubled, the y has shrunk. This shows that the slope has to be more than twice what it was before."
1,"I know for before the run is less than the rise. Whereas for after, the rise is greater than the run. When dividing the rise/ run to get the slope, you know that a smaller denominator will give you a greater slope when the rise is much greater. Since the runs are not proportional to each other, it could be complete random. So thats why it's not exactly twice as what ti was before, but rather more than twice. For example, x/y = 2x/a. I chose random numbers e=for each variable. 3/5 for before and 6/3 for after. Leaving me with a slope of 0.6 for before and 2 for after which is more than twice.  "
0,"The ladder is kept at a higher slope against wall, since its vertical height is increased. "
0,"In order for the distance (the output to be doubled) and there is a directly proportional relationship, the slope is double what it was before "
0,"





![13.PNG](https://usercontent.crowdmark.com/5168ea23-1fd3-4336-9b3c-8dd5ee0c825a.png)





"
