text,joy,sadness,anger,anticipation,fear
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,0,0,0,1,0

@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,0,0,0,1,0

I base when it's going to rain here off of brills snap stories.,0,0,0,1,0

"@jmomahony thank you for your support, but it was not an attempt at levity.",0,0,0,1,0

You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,0,0,0,1,0

@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !,0,0,0,1,0

@JamieRJN She's all over the political map in her relentless pursuit of power.,0,0,0,1,0

"2,034 words today #amwriting #horror #novel 42,080 'Magnitude' total so far. 25Kish to go.",0,0,0,1,0

"We fear not the truth, even if it be gloomy, but its counterfeit.- Berl Katznelson",0,0,0,1,0

okay false alarm it's working again,0,0,0,1,0

"I truly feel like science has the ability to make a milk out of anything ... cashew milk, hemp milk, pine nut milk, dandelion milk",0,0,0,1,0

@davidplotz @Commentary She writes with sort of the same playful cynicism that you do! :),0,0,0,1,0

@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,0,0,0,1,0

"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. ",0,0,0,1,0

Love takes off the masks that we fear we cannot live without and know we cannot live within. - James A. Baldwin,0,0,0,1,0

"@MarkedMurderer Orion's eyes narrowed as he gazed down at the girl, ice cold blues meeting a softer than usual green. His instinct told him-",0,0,0,1,0

Now ...what to do for the next hour while waiting for #OurGirl to start @BBCOne ?!,0,0,0,1,0

"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.",0,0,0,1,0

"There is no dark side in the moon. In fact, it's all dark.'\nGerry O'Driscoll at the end of 'The Dark side of the Moon'",0,0,0,1,0

I wonder what would happen if I were to tell some people the truth #savage #uhoh ,0,0,0,1,0

I wish the next madden has a story mode too. Just like Fifa 17 ,0,0,0,1,0

"I need to think of a new Avatar for Fire Emblem Revelation as I might start playing it soon, any ideas for names? What gender do I choose",0,0,0,1,0

@SandraTXAS @6bird4 @CajunKangaroo @justanavywife please. Or you could be clouded by your passion. Emotion leads you from the truth.,0,0,0,1,0

Let's get drunk and tell each other things we're afraid to say when we're sober.,0,0,0,1,0

You are NOT your struggle or You are NOT your affliction! #YouAreStrong &amp; #YouAreArising above it all!,0,0,0,1,0

No quite sure how Craig Gordon's stayed on the park there !!,0,0,0,1,0

@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,0,0,0,1,0

I hope my hustle don't offend nobody,0,0,0,1,0

@VosachResrus ^'ll just #wobble carry you #sink,0,0,0,1,0

Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,0,0,0,1,0

My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,0,0,0,1,0

Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE,0,0,0,1,0

I need all your attention! If I don't I'll pout..,0,0,0,1,0

"@samvirwin fancy! I have some of those and I have never put them up, I should do that. Also, I vote jaunty angles then no one will judge",0,0,0,1,0

Changing my hair again ,0,0,0,1,0

Her charm is liveliness but this is also her weakness.,0,0,0,1,0

"After Nawaz Sharif's speech on terrorism, Kejriwal is expected to talk on Governance.",0,0,0,1,0

Apparently all the money in the world can't buy a single person to tell you not give your own waist a hearty two-handed pinch while onstage.,0,0,0,1,0

"Symmetry is Key, everything must be aesthetically pleasing as possible, that is why I hold you twin pistols. #DeathTheKid #Bot",0,0,0,1,0

"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",0,0,0,1,0

"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",0,0,0,1,0

I delete numbers so quick with no hesitation,0,0,0,1,0

"@astockeyWTAE @SonniAbatta she is terrific at her job, where is she headed-- I missed that?",0,0,0,1,0

An hour played and @ASFCofficial have conceded less at West ham than @ManUtd have at northampton.  Let that sink in.,0,0,0,1,0

@wenniss are you cheering for team Sweden today or team North American?,0,0,0,1,0

I have another test tonight ,0,0,0,1,0

the rappers who stayed true to the game is rich.,0,0,0,1,0

"light shining thru a clear sparkling stream of piss ,is a sight women will never know of(also tells tht system ure system is healthy)",0,0,0,1,0

did you know that the sparkling letters in Super Mario Galaxy spell out U R MR GAY,0,0,0,1,0

@AnjiDunlap droop in leggings? Are they wearing XXXL?,0,0,0,1,0

"be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better",0,0,0,1,0

"Trying to think positive, and not let this situation discourage me ✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨",0,0,0,1,0

doing some testing with my current earth burst team,0,0,0,1,0

Studying the phases of oscillation. How jovial. 😐🔫,0,0,0,1,0

[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.,0,0,0,1,0

someone kik me @ montanashay_ \n#kikme #snap,0,0,0,1,0

@JonnyOwenFilm @ringsiderobbie1 can you remember that train Sunday after Froch v Kessler ? ,0,0,0,1,0

Who actually chooses to drink sparkling water 🤔,0,0,0,1,0

"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",0,0,0,1,0

@ryanwilson2015 That's why compatibility is key as it lowers hedonic volatility.,0,0,0,1,0

Bring on my interview at hospital tho 🙈🙈 ,0,0,0,1,0

"Sharpened a pencil today, haven't sharpened once since 1999. ✏️ ",0,0,0,1,0

@xaninaany I'm so serious DM me I'll tell u more,0,0,0,1,0

Will do fine on the mat tonight with or without sleep. theres no worry for that on this side of the water,0,0,0,1,0

"@ctp It's daunting trying to follow Swift news/trends, and facing mind-shattering patterns/terms left and right. I'm trying to adopt gently.",0,0,0,1,0

"@ToddDoug @Ziggomattic Yeah, this actually supports why I tweeted in this thread initially. Because of the article's righteous indignation.",0,0,0,1,0

"cluck cluck cluck, wolf wolf wolf , chirp chirp chirp is all I ever hear.",0,0,0,1,0

What do you get when you cross an #apple tree and a #pine tree? 🍎🌲\nNothing. You can't cross-pollinate #deciduous and #coniferous #trees.,0,0,0,1,0

@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,0,0,0,1,0

Don't get #bitter get #BETTER,0,0,0,1,0

What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,0,0,0,1,0

We're all in D. T. (Discipleship training or detox) for something. #messy  #cutoff #choosefreedom #CryOut16,0,0,0,1,0

"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..",0,0,0,1,0

@aidankerrpol I think you should do. Get the fashion police involved. ,0,0,0,1,0

"6 might be a serious number, but 10 sounds better. Wild card race!!",0,0,0,1,0

"I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure ",0,0,0,1,0

@laray_jenkins2 @SportsInsights yeah I know it unless our offense can get something going. That's a big if,0,0,0,1,0

Watching the NY Phil webcast.  Something missing.  Reminds me of a blithe Journey's End I once saw on Bway.  Might just be the Gershwin.,0,0,0,1,0

@Justin_Gau @JamesMelville You certainly wouldn't catch me with the multitude. ,0,0,0,1,0

it's pretty depressing when u hit pan on ur favourite highlighter,0,1,0,0,0

Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,0,1,0,0,0

Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),0,1,0,0,0

"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",0,1,0,0,0

Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,0,1,0,0,0

@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,0,1,0,0,0

so gutted i dropped one of my earrings down the sink at school,0,1,0,0,0

I'm so bored and fat and full and ridiculously overweight and rolls galore ,0,1,0,0,0

@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,0,1,0,0,0

"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",0,1,0,0,0

My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,0,1,0,0,0

"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",0,1,0,0,0

"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",0,1,0,0,0

wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,0,1,0,0,0

"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",0,1,0,0,0

@DepressedStride &gt; huff louder,0,1,0,0,0

Summer officially ends today. #sadness,0,1,0,0,0

final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,0,1,0,0,0

I need a bit of #GBBO to cheer me up after a terrible day!,0,1,0,0,0

I was not made for this world. #empath #unhappy,0,1,0,0,0

i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,0,1,0,0,0

"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",0,1,0,0,0

finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,0,1,0,0,0

will brawndo cure my depression? @MikeJudge #Idiocracytoday,0,1,0,0,0

@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,0,1,0,0,0

@FlannelJedi This is why I drink and watch You're the Worst as a way to cheer myself up.,0,1,0,0,0

in health we did a think about depression and now i feel like i have it,0,1,0,0,0

Muscled man with huge heart is messing with my brain and heart. #lost #confused,0,1,0,0,0

@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,0,1,0,0,0

"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",0,1,0,0,0

@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,0,1,0,0,0

@Fra93_bruno wow I'm just really sadden by that. Terrible,0,1,0,0,0

"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",0,1,0,0,0

I'm such a shy girl🙄,0,1,0,0,0

mmmm i'm kinda sad i hope i can shake this before school,0,1,0,0,0

NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,0,1,0,0,0

No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,0,1,0,0,0

"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",0,1,0,0,0

Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,0,1,0,0,0

"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness",0,1,0,0,0

@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,0,1,0,0,0

Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,0,1,0,0,0

When will the weeks full of Mondays end?? #disheartened,0,1,0,0,0

Feeling #gloomy,0,1,0,0,0

@Bietron 🤓 dont be sad.. btw good night davina..go sleep larh..,0,1,0,0,0

Condolences to the  JC and the Georges family.. ,0,1,0,0,0

Been a while since I been sober. This life can be so hard,0,1,0,0,0

I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,0,1,0,0,0

It appears my fire alarm disapproves of my cooking style,0,1,0,0,0

alternate reality where @PoetryFound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,0,1,0,0,0

When you have 15 doe run the opposite side of you 🙁 #depression,0,1,0,0,0

@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,0,1,0,0,0

"@SloanTheOtaku Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",0,1,0,0,0

"Dehydrated, exhausted, stressed but still blessed. ",0,1,0,0,0

"@paige_christian awe man, when are you free then? ☹️️☹️️☹️️💘💘💘",0,1,0,0,0

@KurakkuSora he is.\nSure his mind was clouded but...],0,1,0,0,0

#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,0,1,0,0,0

I honestly feel nothing towards either of my parents and it's pretty depressing,0,1,0,0,0

"@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.",0,1,0,0,0

"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",0,1,0,0,0

😑😑😑&lt;---- that moment you finish a Netflix series and have nothing else to watch. #depression,0,1,0,0,0

"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",0,1,0,0,0

"The animals, the animals\nTrap trap trap till the cage is full\nThe cage is full, stay awake\nIn the dark, count mistakes",0,1,0,0,0

@FoxNews Very thought provoking &amp; leads one to question what really happened.Very sad for all.,0,1,0,0,0

The joyful tambourines have ceased. The noise of the jubilant has stopped. The joyful lyre has ceased. -Isaiah 24:8,0,1,0,0,0

@missmeliss465 @WellWeds @siggyflicker @whispernghope @mcrichard awe I feel so bad being naive ou is the worst,0,1,0,0,0

Rooney = whipping boy. #mufc #sad,0,1,0,0,0

Drop Snapchat names #bored #snap #swap #pics,0,1,0,0,0

"@nigeriaLNG @TonyAttah #lestweforget 3 yrs on, 2013 Graduate Trainee recruitment not concluded. #disappointed #weary however  #wewait",0,1,0,0,0

@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing,0,1,0,0,0

@BeeTuppy We're sorry to hear about the issues and how this is making you feel. We don't like to hear our customers being unhappy :-( We,0,1,0,0,0

"I miss my gran singing Rawhide, in her deep baritone growl.",0,1,0,0,0

it didn't impress me but it didn't depress me',0,1,0,0,0

@smb_ryan @Kamper10 I couldn't care less about #GOTHAM. I haven't watched it since the mid point of season 1. #horrible,0,1,0,0,0

"@mehnazt @Mel_Harder I live a life devoid of mirth. Come to think of it, there aren't enough taco bowls in my life, either.",0,1,0,0,0

@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,0,1,0,0,0

@OniLink86 @DarekMeridian lmao awe...  #sad,0,1,0,0,0

So drunk me hid my keys very well sober me couldn't find it anywhere,0,1,0,0,0

So depressing that it's darker so much earlier now,0,1,0,0,0

"@msfang they say you attract what you see, maybe I shouldn't be a pessimist but I don't wanna take any chances lol can't wait to relocate",0,1,0,0,0

Is it just me or is this a very weird time for the world? #change #enlightenment #gloomy #weird #sigh #imaginepeace #imaginelove #unite,0,1,0,0,0

Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,0,1,0,0,0

On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,0,1,0,0,0

"@MHChat if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat",0,1,0,0,0

@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;),0,1,0,0,0

#welfarereform should not be a 'model' for #snap.,0,1,0,0,0

Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.  Sydney J. Harris,0,1,0,0,0

@Ashleyavitia_ don't leave me #sad,0,1,0,0,0

@l1ght__eyes u tried boiling em takes years too,0,1,0,0,0

I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. 😕 #insomnia  #notfair,0,1,0,0,0

"Only God knows why things happen, sometimes it's just hard to understand. #sad #prayingforyou",0,1,0,0,0

Tho we haven't talked Jeff but the news is so sad and shocking. R.I.P Jeffrey,0,1,0,0,0

It's been 5 weeks and I still go through depression smh,0,1,0,0,0

We have left #Maine. #sadness,0,1,0,0,0

"@marksandspencer Where has your 50% grapefruit squash gone,not been able to get for weeks #unhappy",0,1,0,0,0

I am often disturbed by what some people find appropriate or acceptable. It's not funny nor cute that adults find this stuff humorous. #sad,0,1,0,0,0

People are trying too hard to hate on Cam Newton without understanding his position #sad,0,1,0,0,0

And here we go again 😓 #restless,0,1,0,0,0

@ChipotleTweets Gabe the worst part is I can't get hot status this month because there's no chipotle near enough to my campus #sadness,0,1,0,0,0

My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! #optimism,0,1,0,0,0

"@TheJonFedor @abdophoto My main hesitation to going to the Plus size. But if Apple can get the Plus to the 6 size, think of the ASP jump",0,1,0,1,0

@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process ,0,1,0,1,0

Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,0,1,0,1,0

@suddenlyapples This is an on-going affliction for me and the only cure is more Shiro,0,1,0,1,0

nooooo. Poor Blue Bell! not again. #sad,0,1,0,1,0

"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",0,1,0,1,0

"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",0,1,0,1,0

Go help the cause.@plantingaseed.net. #recovery  #sober #addiction,0,1,0,1,0

@qdoba omg I'm so slow bc my eng is not very well and my hands are shaking uhh help meee I'm like this lil chicken now 🐥#MoreisBetter,0,1,0,1,0

"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is ",0,1,0,1,0

"@_JuliaSteiner : I liked that she was not moping around in all of the episode. She had a moment of emotional weakness, felt sorry about -",0,1,0,1,0

We want to help you with your #depression. Give our office a call to learn how #TMS may be the treatment you've been waiting for!,0,1,0,1,0

When you have 15 doe run the opposite side of you 🙁 ,0,1,0,1,0

Can we get a shot of Lingys face at 1/4 time ? Pretty sure it would be more red then his hair  #pretendinghesok #ruok #AFLCatsSwans,0,1,0,1,0

You can make excuses or you can make time. You can't make both. #time #regret #anxiety #LifeCoach,0,1,0,1,0

Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,0,1,0,1,0

Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,0,1,0,1,0

"Yo,if you're talking about horoscopes do you really have any clue as to what you're saying or are you gonna act offended when I question it?",0,1,0,1,0

"@vInZzzY we regret the inconvenience caused. We have noted your concern. We will get in touch with you soon to discuss. Rgds, Abhijit",0,1,0,1,0

@WelshGasDoc @PlaidCymru supporter @reesmarshall239 #prejudice against #disabled people #disabledlivesmatter  #bbcnews #skynews,0,1,0,1,0

"@escotony sorry to hear about your experience, however, please do not hesitate to contact us via live chat or email at askdysonUS@dyson.com",0,1,0,1,0

Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right #pout,0,1,0,1,0

🙄 I just want to start all over again .,0,1,0,1,0

Light of day per heyday popularization backfire cinematography: XUcQb,0,1,0,1,0

"The labor of love is not cheap or inexpensive, it's the time spent earning it. #lackadaisical #dreamer",0,1,0,1,0

What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,0,1,0,1,0

@_JuliaSteiner : YES ! Right ? I mean I wish you hadn't been discouraged to see #MikeandMolly because so many parallels really -,0,1,0,1,0

"ninaturner: Mine too. With what is happening in country, I needed this moment of levity bernblade LisaVikingstad",0,1,0,1,0

me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n #pictureday2016  #ornot,0,1,0,1,0

@MUTGuru I know guys that sink $1000s into the game and only to build a team and play solos. But this hear you make nothing on solos.,0,1,0,1,0

@pandaflo22 We are sadden by this because we always strive to bring the best service to our customer. We will always be here for you. CM,0,1,0,1,0

which always leads to the kind of hilarity average people will never experience - especially during breakups.,0,1,0,1,0

I can't even celebrate my wins or mourn my L's cause first test week is that busy 😕,0,1,0,1,0

whenever I hear concert postponed I think of dismal ticket sales   green day ?,0,1,0,1,0

@MLB @JoeyBats19 Sam Dyson is probably having flashbacks right about now. ,0,1,0,1,0

@Kim_is__bored exactly what I have been saying on fb.. ,0,1,0,1,0

And here we go again 😓 ,0,1,0,1,0

Henderson showing that when times are hard he leaves or goes missing #AFLCatsSwans #seenitbefore #lions #blues,0,1,0,1,0

@HeyCaraJay I am inconsolable at this GIF in context,0,1,0,1,0

@kagehime3 I'm so starved for content I'd take it but I'd def pout about it (՟ິͫઘ ՟ິͫ),0,1,0,1,0

How much time should I give to my friend who lost his laptop to mourn before I can ask him to give me his laptop charger and extra battery??,0,1,0,1,0

"@_noTORIEty lol senior year we would get early dismal for work study ,he was her boss and you know what happened next 🙃",0,1,0,1,0

Nothings #Working-you're feeling your life's on The Edge_Could go either way #lost all reason for #Living-JesusChristHealsSavesASK #fatloss,0,1,0,1,0

"@LouisFil just curious as to what you mean. No rush, no animosity, no disdain.",0,1,0,1,0

I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy,0,1,0,1,0

"@rawhidevelvet No offense, but isn't it a little late to be getting a radio broadcast degree? Isn't that going to be over in a decade or 2?",0,1,0,1,0

Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,0,1,0,1,0

Houston might lose a coach tomorrow or by midnight. #yikes ?,0,1,0,1,0

@TimewarpArcade @tenpencearcade Do you really have to pedal like a nutter to get anywhere? I remember it being more sedate.,0,1,0,1,0

@iamglenn35 the forth character? No... not gleeful enough...,0,1,0,1,0

"@FatedDancer ~together.' Hermione  lowered her voice slightly, sounding somewhat  bitter, perhaps even  rueful. 'That would only get you~",0,1,0,1,0

In serious need of a nap,0,1,0,1,0

@ChristianJMay @CityAM \nConfidence held up... despite constant and continual doom and gloom,0,1,0,1,0

When you get lost in a neighborhood and have to use the gps on your phone to find your way out. #lost #GoogleMaps #blondmoment,0,1,0,1,0

Drop Snapchat names #bored  #swap #pics,0,1,0,1,0

The @Orioles are in contention and hosting @RedSox nation and Camden is empty ,0,1,0,1,0

Y'all tune into Snapchat for Beans funereal,0,1,0,1,0

Q&amp;A with N. Christie @westernuHistory: fr. @marybethstart: What would Peter and Dardanella think of us knowing? #poorthings #shy,0,1,0,1,0

@ajjaffe @MattMurph24 @nickspencer I was under the impression that stop and frisk was a concern to many in NYC. Didn't deBlasio rein it in?,0,1,0,1,0

@URClassless I think that yawning actor died of a drug overdose. ,0,1,0,1,0

"@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one, ",0,1,0,1,0

need to sta dating again.I m bored #redheadteen #boldandbeautiful #lost #500aday single men dating Schkeuditz,0,1,0,1,0

@gmbremer is his shoulder a legit concern? 'Expects to play' isn't reassuring 2 games into the season after having shoulder problems.,0,1,0,1,0

Don't be so shy #nl,0,1,0,1,0

Fellaini has been playing ahead of this guy...just let that sink in,0,1,0,1,0

Should of stayed in Dubai 😞,0,1,0,1,0

i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,0,1,0,1,0

"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",0,1,0,1,0

I really wanna go to fright fest 😩,0,1,0,1,0

When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT,0,1,0,1,0

"Luis Ortiz ducked by Ustinov which means fights off, and he left @GoldenBoyBoxing future not looking to bright for Ortiz #boxing",0,1,0,1,0

If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman,0,1,0,1,0

@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,0,0,0,0,1

"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",0,0,0,0,1

@andreasarahco do you actually heely on campus bc this should scare you,0,0,0,0,1

@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,0,0,0,0,1

That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,0,0,0,0,1

hi my names anxiety and i have shaun,0,0,0,0,1

"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",0,0,0,0,1

"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",0,0,0,0,1

Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,0,0,0,0,1

@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,0,0,0,0,1

@LeafyIsHere will showing off biceps scare you?,0,0,0,0,1

courage the cowardly dog is like american horror story for kids,0,0,0,0,1

