Text,achievement,affection,bonding,enjoy_the_moment,exercise,leisure,nature
I was happy when I realized my biggest concern was how I sang after drinking.,1,0,0,0,0,0,0
When i got to the train station it just pulled up and i was able to get a seat.,1,0,0,0,0,0,0
My turbo kick class was full last night.,1,0,0,0,0,0,0
I cooked a new recipe for dinner and it turned out great,1,0,0,0,0,0,0
"When I weighed myself this morning, I found out I was down more weight than I thought.",1,0,0,0,0,0,0
I was able to resist drink last night.,1,0,0,0,0,0,0
I didn't have to deal with any annoying customers at work this morning. That only happens once in a blue moon.,1,0,0,0,0,0,0
I finally completed my project enthusiastically.,1,0,0,0,0,0,0
i got a job interview for my dream job,1,0,0,0,0,0,0
The mobile home park manager called and said he is coming in the morning to fix the leaky swamp cooler. Finally!!,1,0,0,0,0,0,0
met a weight loss goal and a bet which wasn't easy,1,0,0,0,0,0,0
I purchased a product I wanted for fifty percent off the retail price.,1,0,0,0,0,0,0
I got promotion,1,0,0,0,0,0,0
My wife told me that she passed the qualifying exam for her job promotion.,1,0,0,0,0,0,0
My two wheeler was not running. I found there was an issue with front tyre. I managed it myself. This made me very happy.,1,0,0,0,0,0,0
I cleaned the bathroom tiles and now it looks nice and shiny in there.,1,0,0,0,0,0,0
I brought a new game system today.,1,0,0,0,0,0,0
I measured my weight and found to be 1 pound lesser than the earlier day,1,0,0,0,0,0,0
I received a call from a new client who was ready to pay me more than usual for a simple design,1,0,0,0,0,0,0
I doubled my daily goal for mturk rewards in a very short amount of time.,1,0,0,0,0,0,0
In the appointment order given to me I was surprised that the salary is doubled than now I am getting.,1,0,0,0,0,0,0
"While buying medicine from a regular pharmacy store, I came to know that I had some unused points from my old purchases, so I did not have to pay anything for medicine I bought.",1,0,0,0,0,0,0
I found tool I had been looking for for a long time.,1,0,0,0,0,0,0
My kid got promoted to next class.,1,0,0,0,0,0,0
completed the long time pending project,1,0,0,0,0,0,0
I received enough funding to start my research project abroad this summer.,1,0,0,0,0,0,0
I play a competitive game online and was able to get a top score among all of my friends who also play it. I usually only get somewhere in the top 5 scores.,1,0,0,0,0,0,0
"Our homes are an extension of who we are: what we do within the walls of our abodes shapes our mood, affects our productivity, and influences our outlook on life. Scientific studies have shown that we can have an impact on our happiness by adjusting the tiny little habits and routines that constitute our daily lives a we are, in fact, in control of our outlook on life.",1,0,0,0,0,0,0
I paid the bills and had more money than usual left to transfer into my savings.,1,0,0,0,0,0,0
After a long debate i finally convinced my parents to buy me a new laptop today.As promised they also bought me a new one and i am happy and satisfied with it.,1,0,0,0,0,0,0
I was able to go grocery store and saved money by not buying an impulse items or alcohol(which I have been trying to stay away from).,1,0,0,0,0,0,0
Today early morning boss call me I am surprised boss say that You got promotion and your salary increased now.,1,0,0,0,0,0,0
I ride my  bike at speed of 100 km per hour,1,0,0,0,0,0,0
I cleaned the kitchen and it feels great.,1,0,0,0,0,0,0
Find a new job,1,0,0,0,0,0,0
I won a puzzle game on a website which requires fast reflexes.,1,0,0,0,0,0,0
I completed my work target and my boss appreciated for my good work and that moment i felt happiness.,1,0,0,0,0,0,0
Today I got a bonus amount of 10 dollars from a requester of MTurk.,1,0,0,0,0,0,0
I received a call letter from the University for my job,1,0,0,0,0,0,0
my online game get a new event and give me so many diamond,1,0,0,0,0,0,0
I worked out my back and biceps.,1,0,0,0,0,0,0
I got an offer for a pizza from my nearby hotel and i was happy,1,0,0,0,0,0,0
"I got up very early, before daylight, and went outside to fly one of my RC quadcopters which is equipped with LED lights. While the lights make it very easy to see and orient the quadcopter, it is still somewhat difficult to see trees and other obstructions in my yard.  I was able to fly for just over 10 minutes all around my yard, over my home and our over my neighbor's yard (I have permission).  Flying in total darkness is challenging and super fun.",1,0,0,0,0,0,0
I found out the new community we are moving to has a pond with a kayak launch,1,0,0,0,0,0,0
"The extra memory that I purchased for my computer arrived today, and it was very easy to install.",1,0,0,0,0,0,0
I finally got my drivers license.,1,0,0,0,0,0,0
"It was payday, so everyday payday is a happy day. I was able to FINALLY pay off my last remaining balance from the birth of my twins.",1,0,0,0,0,0,0
all are happy because of me for solving the major issue,1,0,0,0,0,0,0
"I was able to find time to go have my hair cut, something I have been putting off all month and it looks great!",1,0,0,0,0,0,0
I got my computer fixed finally.Now i can get back to doing the things i need to get done.,1,0,0,0,0,0,0
Participated in ugadi food festival in office,1,0,0,0,0,0,0
I done all my job  as i planned. I am very pleased.,1,0,0,0,0,0,0
I wrote my MBA assignments and sent to my study center through courier. After that I saw 3 papers not inserted. At once I phoned to the courier office and told them not to send my cover. I went and kept all the papers in time and was really happy.,1,0,0,0,0,0,0
Got a new iPhone 7 Plus (Product Red),1,0,0,0,0,0,0
I won a basketball medal with my team and I was leader and mvp of the match,1,0,0,0,0,0,0
"Some triathlon gear I'd been waiting on for a while arrived at last, after a pleasing and positive resolution with the seller. Very pleased with purchase - it fits and performs really well.",1,0,0,0,0,0,0
I finally finished the new york times crossword I was working on.,1,0,0,0,0,0,0
"The mechanic contacted me about repairs to my truck, and they were much less expensive that I had anticipated.",1,0,0,0,0,0,0
I have managed to earn 100 dollars for one hour of work.,1,0,0,0,0,0,0
I got a positive comment at work.,1,0,0,0,0,0,0
I was able to run outside and complete a 5K with a new record time in nice weather and feels like spring.,1,0,0,0,0,0,0
yesterday i received a message that i got promoted as a manager from my company,1,0,0,0,0,0,0
I was able to hit my earnings goal for the day which I thought originally was too high.,1,0,0,0,0,0,0
after 2 month i bought new tcl 32 inch led tv its looks cool and i really loved it,1,0,0,0,0,0,0
I found a bag that I thought I had lost,1,0,0,0,0,0,0
I won a bet for $50 this morning.,1,0,0,0,0,0,0
I ran my longest duration so far.,1,0,0,0,0,0,0
I made chappati on my own for the first time and they turned out amazing!,1,0,0,0,0,0,0
I passed an evaluation at work with flying colors,1,0,0,0,0,0,0
I was happy when I got my new incentives from my hardworking work,1,0,0,0,0,0,0
got bonuses from my work which i'm getting regularly,1,0,0,0,0,0,0
A good win for my sports team,1,0,0,0,0,0,0
I managed to get under an eight minute mile pace. I'm kind of awesome.,1,0,0,0,0,0,0
bought a new wallet that I was looking for.,1,0,0,0,0,0,0
My car loan was cleared yesterday and i was very happy.,1,0,0,0,0,0,0
I got an A on the test that I barely studied for.,1,0,0,0,0,0,0
I become the leader of the great squad and I achieved the highest rank,1,0,0,0,0,0,0
i gt an A on my exam,1,0,0,0,0,0,0
I got new underwear in the mail that I had purchased online.,1,0,0,0,0,0,0
I beat the final boss in Dark Souls.,1,0,0,0,0,0,0
My husband got promoted at his job and will be making more money,1,0,0,0,0,0,0
"My computer, which had had a hard drive failure, got finally repaired.",1,0,0,0,0,0,0
I worked out and was able to keep up with the entire tape.,1,0,0,0,0,0,0
i completed all my office work and went for a nice brunch with my parter,1,0,0,0,0,0,0
I received a message from a seemingly charming lady on the Plenty of Fish dating app.,1,0,0,0,0,0,0
I found something I had lost weeks before.,1,0,0,0,0,0,0
I bought a new phone,1,0,0,0,0,0,0
I finished work earlier than usually,1,0,0,0,0,0,0
I was able to reach my target weight today at 85kg. Need to lose more but still happy.,1,0,0,0,0,0,0
I found a great deal on a Samsonite backpack.,1,0,0,0,0,0,0
I bought a new T-shirt for myself,1,0,0,0,0,0,0
India won the  cricket test match against Australia today,1,0,0,0,0,0,0
"I had a great dinner with baked chicken, hominy, bread and a salad.",1,0,0,0,0,0,0
During its formative years the company employed foreign experts to improve its production. Its management had the foresight to establish an R&D department even though its product range was too small.,1,0,0,0,0,0,0
replaced the television in home,1,0,0,0,0,0,0
I found out that I was going to start a new and highly potent new medication for my IBS that I believe could finally provide me relief.,1,0,0,0,0,0,0
My former manager who had been out on extended sick leave due to an injury came back to work yesterday. He was my first manager when I got my current job and mentored me.,1,0,0,0,0,0,0
I finally got a job interview.,1,0,0,0,0,0,0
When i claim back 95% my insurance money from insurance company.,1,0,0,0,0,0,0
GOT APPRECIATION FOR MY ACADEMIC PERFORMANCE FROM MY HEAD OF THE MECHANICAL DEPARTMENT,1,0,0,0,0,0,0
"I was finally able to complete several small tasks at work that had been on my to-do list for awhile, but had always been superseded by other tasks.",1,0,0,0,0,0,0
I saw my dig after work.,1,0,0,0,0,0,0
The third thing made me happy is I got one credit card offer.  That they increased my reward points for my purchase and they also offered free movie tickets exclusively for my credit card that makes me happy.,1,0,0,0,0,0,0
I got challenging work from my boss.,1,0,0,0,0,0,0
I got offer to avail loan from bank with low interest rate and it made me happy.,1,0,0,0,0,0,0
I completed my goal of 30 bicep curls at the gym. I have been working on it for a couple weeks but was able to accomplish it easily today.,1,0,0,0,0,0,0
"Due to cooler weather this afternoon, I finally managed to prune the trees in the garden",1,0,0,0,0,0,0
I managed to do 30 one legged squats with my right leg which has been weaker than my left but I am in process of leveling them out and I am happy about the progress.,1,0,0,0,0,0,0
I finally got our taxes completed. I do it myself so I feel happiness and relief when it's done.,1,0,0,0,0,0,0
I drank 6 12 ounces glasses of water.,1,0,0,0,0,0,0
I finished my paper for my college class.,1,0,0,0,0,0,0
Finally succeed in making Tomato soup.,1,0,0,0,0,0,0
"I took my small (5"" refractor) telescope out in my yard to look at stars and planets.  I was able to view Jupiter and all 4 moons surrounding the planet.  Though I would love to have a much larger telescope, this one performs very well.  With a short focal length eyepiece the view of Jupiter was very nice indeed.",1,0,0,0,0,0,0
"I have given Rs.100 as a donation for expenses to a Temple fund, they are very happy.",1,0,0,0,0,0,0
My son had a great soccer practice and is really coming along and learning new skills as well as really learning to control his body.,1,0,0,0,0,0,0
I bought a brand new dress that looks beautiful.,1,0,0,0,0,0,0
I was able to fit back into a pair of jeans that I have not been able to wear for over a year.,1,0,0,0,0,0,0
It was warm enough to drive with my car windows open.,1,0,0,0,0,0,0
I got Rs 500 cash as a gift for the quiz which I participated three months before. It was very useful at that correct time and I felt happy about this.,1,0,0,0,0,0,0
"I finally purchased my dream house yesterday, i am feeling very happy.",1,0,0,0,0,0,0
I cooked a tasty dinner from leftovers.,1,0,0,0,0,0,0
TO DAY I MORNING I JOINED A GIM,1,0,0,0,0,0,0
i received a lottery amount of 5000 today,1,0,0,0,0,0,0
I was happy when I made a sale in my business.,1,0,0,0,0,0,0
I finished  up my  mturk work a  bit  early and since the  weather was  so nice I went out and  worked on a  pile of firewood in my yard.  Some of the smaller pieces  that are good for stacking i tossed in the grill and  it fired right up and I smoked some chicken. It turned out amazing,1,0,0,0,0,0,0
I went on a successful date with someone I felt sympathy and connection with.,0,1,0,0,0,0,0
I was happy when my son got 90% marks in his examination,0,1,0,0,0,0,0
I went with grandchildren to butterfly display at Crohn Conservatory,0,1,0,0,0,0,0
I got gift from my elder brother which was really surprising me,0,1,0,0,0,0,0
Watching cupcake wars with my three teen children,0,1,0,0,0,0,0
My son performed very well for a test preparation.,0,1,0,0,0,0,0
My new BCAAs came in the mail. Yay! Strawberry Lemonade flavored aminos make my heart happy.,0,1,0,0,0,0,0
My sister called me from abroad this morning after some long years. Such a happy occassion for all family members.,0,1,0,0,0,0,0
My grandmother start to walk from the bed after a long time.,0,1,0,0,0,0,0
I napped with my husband on the bed this afternoon and it was sweet to cuddle so close to him.,0,1,0,0,0,0,0
"My son woke me up to a fantastic breakfast of eggs, his special hamburger patty and pancakes.",0,1,0,0,0,0,0
After a long time my brother gave a suprise visit to my house yesterday.,0,1,0,0,0,0,0
I went to the movies with my sister today for the first time since a long time.,0,1,0,0,0,0,0
I picked my daughter up from the airport and we have a fun and good conversation on the way home.,0,1,0,0,0,0,0
"My daughter waved at me and said ""mama"" for the first time when I came home this morning",0,1,0,0,0,0,0
I hang out with my fiancee and we had dinner together,0,1,0,0,0,0,0
My older daughter keeps patting my younger daughter's head.,0,1,0,0,0,0,0
"I was feeling lonely after a long day's work. When I called my husband, he said he is on the way to pick me up as his meeting was over. I was surprised and excited.",0,1,0,0,0,0,0
"My spouse gave me a kiss and big hug in the morning,when i go to office",0,1,0,0,0,0,0
My son gave me a big hug in the morning,0,1,0,0,0,0,0
I ate a very good dinner with my family,0,1,0,0,0,0,0
I walked to work and back with my partner.,0,1,0,0,0,0,0
My sister and I had a long chat about what was happening in our lives right now. I enjoyed reconnecting with her.,0,1,0,0,0,0,0
my partner buy a big cake for me its very nice and tasty .i never expect the cake from my partner he really loves me lot .the cake is very delicious and very cold .the taste was very different compared to other cake .the day was went very interesting and i spent most of the time with my partner .we went to movie and we had a fun .i really miss my partner and after that most of the day i love to spent with him.,0,1,0,0,0,0,0
I cooked my girlfriend a wonderful breakfast.,0,1,0,0,0,0,0
"a smile from my son faces make be happy everyday, today also I got it",0,1,0,0,0,0,0
I took my dog for a long walk on a beautiful day.,0,1,0,0,0,0,0
"I was running around after the kids and my husband grabbed me and told me I was beautiful, perfect, smart, special and that he loved me.",0,1,0,0,0,0,0
"My 3yrs son felt very bad for kicking me and said "" mom i'm very sorry for kicking you i wont repeat this"".I felt happy in this age he realizes his mistake.",0,1,0,0,0,0,0
"Long ago, men went to sea, and women waited for them, standing on the edge of the water, scanning the horizon for the tiny ship. Now I wait for Henry. He vanishes unwillingly, without warning. I wait for him. Each moment that I wait feels like a year, an eternity. My husband is comedy man and that moment is happy mood.My baby born   in this moment.",0,1,0,0,0,0,0
My girlfriend told me she loved me and that she hoped to marry me one day.,0,1,0,0,0,0,0
I took my girlfriend out for a nice Birthday dinner and got to watch her open her presents. It was a really fun evening.,0,1,0,0,0,0,0
My Mother gave me a surprise visit at my home.,0,1,0,0,0,0,0
We celebrated our anniversary with my boyfriend.,0,1,0,0,0,0,0
Last night my sister born a baby and I got new relation which is UNCLE this is happiest moment for me.,0,1,0,0,0,0,0
My son results is today its got very good he scored 99% in school its so happy to see the results,0,1,0,0,0,0,0
I got engaged with my parents support,0,1,0,0,0,0,0
My family went to a wildlife park. It was so beautiful.,0,1,0,0,0,0,0
we went to vacation to my native place.my parents and siblings are there.it was great feel with my family.we ate a lot with my family and had a fun.,0,1,0,0,0,0,0
I Saw my Dad when i went to his office. He was so popular among his staff and Many people know him. This thing makes me happy for my Dad.,0,1,0,0,0,0,0
Yesterday night I went for a movie with my family.We had great fun spending time together.,0,1,0,0,0,0,0
We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip,0,1,0,0,0,0,0
When my wife came home from work and we shared a steak dinner together with a bottle of wine.,0,1,0,0,0,0,0
Julia was such a good girl last night on the lunge and was trying very very hard to do what was asked of him without getting panicky and throwing a resulting wobbles!,0,1,0,0,0,0,0
"my son went to football match with his friends, he came home very happy that his team won the match.seeing him happy we felt very happy.",0,1,0,0,0,0,0
In the morning my 2 years daughter apply ointment for my severe headache.,0,1,0,0,0,0,0
Summer holidays have began for my kids and i was happy,0,1,0,0,0,0,0
"This is the second essay in a two-part series about my journey to visit the Taj Mahal. Read the first part for the whole story.AGRA, Uttar Pradesh, India a As soon as my train to Agra leaves from Delhi, I find myself confused again. Iam lying on my reserved upper berth, though most of the train car beds arenat being used and almost all of the passengers are sitting on lower seats. I feel ridiculous, like Iam emperor of my train car, overseeing the rest of the passengers from above. Meanwhile, men pass by below me, offering a mysterious vegetarian curry out of industrial-sized buckets. I motion for one to serve me some on a paper plate, but when I try to pay for the food, he wonat accept any money. This is the first time Iave gotten anything for free in India. I conclude that the food is going to kill me.While Iam eating, the train makes a stop and passengers disembark, but the conductor makes no announcements. I canat see through any of the trainas tiny lower windows from my upper bunk. I have no idea where I am.aIs this Agra?a I ask a man sitting below me. I ask as nicely as possible, in an attempt to avoid appearing as a self-righteous train car emperor, shouting questions to my serfs. After all, I remember, Taj Mahal-builder and Mughal Emperor Shah Jahan was overthrown by his son soon after the Taj Mahalas completion. The man below shakes his head and, in Hindi, I think he tells me that we still have a long ride to Agra. Another man walks by selling non-vegetarian food in foil tins. The first shots of an intestinal war have already been fired as a result of my free bucket food, so I decline. As the train chugs toward Agra, stopping at stations along the way, I find myself continuously recruiting new serfs below me to keep track of where we are. By the time Iam halfway through the journey, I have an eighteen year old kid, two Indian soldiers, and a young woman a none of whom can speak English a trying to assist me. Itas easy to accidentally aggregate helpers on the train; mercifully, Indians tend to be especially protective of clueless Westerners trying to make sense of Indian public transportation. At one point, the two Indian soldiers demand that a teenager move his feet resting on my berth, and the young woman makes food recommendations as buckets whisk by. Theyare kind of like four Train-Fairy Godmothers. Soon, I fall asleep.Suddenly, I awake to the sound of four Indians chanting aAgra! Agra!a in unison. I abruptly end my time as train car emperor, jump down from my bed, thank the four of them, and catch a taxi to my Agra guesthouse. Before he leaves, I arrange for my taxi driver to pick me up at 6 AM the next morning to take me to the Taj Mahal.In the morning, I tell my driver to take me to the East Gate of the Taj Mahal. He promptly takes me to a roundabout near the West Gate instead a though his aEast Gate!a announcement upon our arrival is quite convincing. Indiaas perpetually dishonest taxi drivers always have ulterior (and sometimes mysterious) motives; in this case, he was trying to save gas by taking me to the Gate closer to my hotel and, according to Lonely Planet, possibly collect a kickback from camel and rickshaw drivers sitting near the West Gate waiting to take tourists to the Tajas ticket office. I donat bother to argue with him since thereas not much time until sunrise, and I walk quickly to the entrance. Standing in line with about twenty other mostly Indian tourists, Iam surprised to see a lack of Westerners a I imagined that every white person in India would be flocking to the Taj Mahal.Finally, the doors open, and I catch my first glimpse of the building considered to be the most beautiful in the world, one whose creator boasted that it made athe sun and the moon shed tears from their eyes.a I see the famous white, marble dome peeking through the arch of the Great Gate as tourists hold cameras high above their heads to get their first snapshot. I walk deliberately toward and around the Taj, soaking in the dawn, slowly taking photos from every possible angle. A handful of photographers gather in front of the adjacent Taj Mahal mosque with me to capture the sun as it rises behind it. Everyone is reverent, taking care not to interfere with othersa photographs and offering to help take posed pictures. The moment is perfect for the photographer gaggle: mist blankets the Yamuna River behind the structure, and the building looks like it has risen spontaneously from a clouded heaven, a concrete manifestation of nirvana.The simple presence of the Taj, built as a symbol of eternal love by Emperor Jahan in memory of his third wife who died during childbirth, seems to encourage even rabid photographers to cooperate with each other.I spend almost two hours touring and photographing the Taj, walking around its walls, admiring the calligraphy on the entrance arch, gazing at the minarets, and touching the intricate lattice screens in the mausoleum interior. Iam just about finished, taking a few final classic Taj Mahal reflection pool photographs from outside, when a beautiful, young blond woman performing playful, provocative poses for her friends camera catches my eye. Soon, a string of Indian men, and some Indian families too, start interrupting to ask her to pose with them in souvenir photos.aThe Indian tourists seem more interested in your white skin and blond hair than the white marble of the Taj Mahal,a I say to her. aIam pretty sure a lot of these Indian guys are leaving with more pictures of you than the Taj.aShe chuckles and introduces herself to me as Sophie, from France, and, quickly, weare trading funny stories of our travels through India. We like each other immediately. We find ourselves chatting in front of the Tajas reflection pool for about a half hour as Indian men gawk at us. But when Sophie and I realize that weare headed in opposite directions a she toward Amritsar in northern India and me toward Kerala in southern India a we share an awkward moment during which we realize that this is the one and only meeting of our entire lives.well, it truly has been a pleasure, Hank,a she says. Her eyes hold on mine. For a long moment, she doesnat look away. I canat tell whether sheas staring at me or at the exquisite reflection of the Taj Mahal in the pool behind me.She walks past me, in front of the rising sun. Then, she glances back at me one last time, smiles, and then shifts her gaze, once again, toward the world's most beautiful symbol of eternal love.",0,1,0,0,0,0,0
My father bought me a bicycle.,0,1,0,0,0,0,0
I went to my home and given an Ice Cream Family pack to my family particularly in to the hands of my son and it creates a joyful moment.,0,1,0,0,0,0,0
"My son came home and said he had study words, and wanted to bond with me while working on them together",0,1,0,0,0,0,0
My Neice and Nephew gave me a hug and kiss today morning,0,1,0,0,0,0,0
I laughed with my English class about silliness during last period.,0,1,0,0,0,0,0
My daughter did very good on a big test at school.,0,1,0,0,0,0,0
I had a long talk with my son who lives very far away fro me. We always have good conversations.,0,1,0,0,0,0,0
My husband says me 'I love u ' when i woke up in the morning.,0,1,0,0,0,0,0
I left my key in my motor cycle and searched for half an hour. My neighbor house uncle came and gave the key and I was very happy.,0,1,0,0,0,0,0
I saw that girl I loved very much at Mui Ne Bay. That face I loved and I missed very much,0,1,0,0,0,0,0
I took some time and played with my pet rabbit for a while.,0,1,0,0,0,0,0
"My husband told me he loves me, this morning.",0,1,0,0,0,0,0
"My oldest dog suffers from congestive heart failure, and she seemed to be feeling much better today.  I felt quite relieved.",0,1,0,0,0,0,0
all my family went out to watch a film,0,1,0,0,0,0,0
I got a pet as gift from my parents,0,1,0,0,0,0,0
I had intimate relations with a wonderful person whom I love.,0,1,0,0,0,0,0
I got to see my girlfriend and help her celebrate her birthday,0,1,0,0,0,0,0
I enjoyed play Soccer with my brother,0,1,0,0,0,0,0
"A happy moment was when my granddaughter gave me a big hug.  She is not a very kind of girl that gives hugs a lot, so when I got a hug, it was just wonderful.",0,1,0,0,0,0,0
"In the past 24 hours, what made me happy was my Mother's day card from my 7 year old son where had written the kindest, sweetest note surrounded by the most beautiful drawing.",0,1,0,0,0,0,0
I came home from work and my dog was wagging her tail. I was previously convinced that she hurt it yesterday because she wasn't wagging.,0,1,0,0,0,0,0
i got engaged with my lover yesterday,0,1,0,0,0,0,0
I was playing rock band with my family.,0,1,0,0,0,0,0
My wife and i are celebrating our ten year anniversary today.,0,1,0,0,0,0,0
I was happy when my daughter called me from across the country.,0,1,0,0,0,0,0
my daughter came first in her sports race . i was feeling proud,0,1,0,0,0,0,0
I went to lunch with my girlfriend and her family,0,1,0,0,0,0,0
I took my dog to walk around our local park. It was almost 70 degrees and was a beautiful day.,0,1,0,0,0,0,0
I woke up and took care of my daughter.  She was so smiley first thing in the morning.  It was so amazing seeing all those smiles.,0,1,0,0,0,0,0
"My wife told me that despite my having lost overtime hours, she is happy to have me around her more.",0,1,0,0,0,0,0
I went to support my cousin in her product launch last night and I was so happy and proud to watch her shine.,0,1,0,0,0,0,0
I went to the park with my son after work yesterday.,0,1,0,0,0,0,0
Spending time with my daughter and good friends at an in-service last night.,0,1,0,0,0,0,0
I was very happy when my family brings me beautiful gift for me,0,1,0,0,0,0,0
My husband passed his DOT physical and I don't have to worry about it anymore.,0,1,0,0,0,0,0
had a great lunch with daughter and grandchildren and enjoyed out time together,0,1,0,0,0,0,0
My children kissing me goodnight.,0,1,0,0,0,0,0
My girlfriend surprised me with my favorite dinner (tacos).,0,1,0,0,0,0,0
Went to Restaurant with my family members,0,1,0,0,0,0,0
I was playing with the kittens.,0,1,0,0,0,0,0
I cooked food for my mother-in-law.  And she liked it too,0,1,0,0,0,0,0
"Had dinner with my Family, now that my dad is getting over being sick.",0,1,0,0,0,0,0
A hot chat with my dating partner makes me feel more sexy,0,1,0,0,0,0,0
Finally tricked my dog into letting me give him a bath. Sweet smelling puppy is the best.,0,1,0,0,0,0,0
"I seen my parents filled with tears on receiving her phone call, huge amount of happiness no words to explain.",0,1,0,0,0,0,0
My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself.,0,1,0,0,0,0,0
I finally decorated my son's room for his birthday.,0,1,0,0,0,0,0
I cooked an entire breakfast for my family.,0,1,0,0,0,0,0
My application to adopt a cat came through,0,1,0,0,0,0,0
Taking my dog for a walk and having a conversation with a stranger.,0,1,0,0,0,0,0
